Pressure,MIL-160,MIL120-Str1,MIL120-Str2,MIL127-OMS,MIL127-Hyd,MIL59-OMS,MIL59-Hyd,CALF20,CALF20-bdc,CALF20-cub,CALF20-fum,CALF20-squ,CALF20-ttdc,CAU10,CAU10-CH3,CAU10-OH,CAU10-NH2,CAU10-OCH3,CAU11,CAU59,MIL53-CF3,MIL53-F4,MIL68-bdc,MIL68-mes,MIL91,MIL120-naph,MIL140A,MIL140B,MIL53-muc,MIP211,MIP203-F,MIP203-M,MIP203-S,MIP214,Fe-mdip,Zr-DHBQ
0.00001,0.00001,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001,0.00004,0.00001,0.00001,0.00001,0.00003,0.00006,0.00004,0.00004,0.00004,0.00007,0.00007,0.00001,0.00001,0.00002,0.00002,0.00002,0.00002,0,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00008
0.0001,0.00013,0.00015,0.00023,0.00013,0.00013,0.00022,0.0002,0.00016,0.00008,0.00038,0.00006,0.00008,0.0001,0.00028,0.00065,0.00041,0.00042,0.0004,0.00072,0.00072,0.00013,0.00011,0.00021,0.00018,0.00023,0.0002,0.00002,0.00018,0.00007,0.00006,0.00014,0.00014,0.00006,0.00013,0.00027,0.00078
0.001,0.0013,0.00154,0.00229,0.00132,0.00129,0.00223,0.00202,0.00159,0.00083,0.00379,0.00061,0.00085,0.00098,0.00276,0.0065,0.00414,0.00416,0.00393,0.00718,0.00712,0.00132,0.00108,0.00211,0.0018,0.00234,0.00197,0.0002,0.00182,0.00069,0.00056,0.00142,0.00144,0.00057,0.0013,0.00268,0.00771
0.01,0.01296,0.01521,0.02246,0.0131,0.01284,0.02186,0.01957,0.01573,0.00833,0.03734,0.006,0.00844,0.00973,0.02734,0.06196,0.03993,0.04028,0.03814,0.06937,0.06606,0.01312,0.0107,0.02075,0.01793,0.02296,0.01939,0.00198,0.01814,0.00691,0.00562,0.01411,0.01437,0.00571,0.01296,0.0261,0.07461
0.05,0.06393,0.07416,0.1097,0.06516,0.06389,0.10245,0.09033,0.07741,0.04133,0.18471,0.02981,0.04187,0.04801,0.1332,0.26621,0.18019,0.17845,0.16635,0.30601,0.26618,0.0649,0.05195,0.10226,0.0883,0.10983,0.09455,0.01008,0.08878,0.03452,0.0282,0.06971,0.07139,0.02848,0.06298,0.11984,0.32464
0.1,0.12565,0.14438,0.21202,0.12984,0.12672,0.18886,0.16292,0.15212,0.08233,0.36467,0.05938,0.08289,0.09583,0.2576,0.45492,0.32319,0.31163,0.28664,0.53532,0.42805,0.12765,0.1024,0.19748,0.17119,0.20731,0.18275,0.02031,0.17387,0.06887,0.05626,0.13536,0.14056,0.0567,0.11763,0.21978,0.5586
0.5,0.57341,0.60059,0.84462,0.62368,0.60088,0.60625,0.47334,0.66009,0.39668,1.50821,0.28492,0.38309,0.45287,1.052,1.13468,0.92765,0.78941,0.68948,1.30086,0.93521,0.55639,0.4361,0.79761,0.69966,0.71179,0.70676,0.10227,0.70653,0.34219,0.28054,0.56859,0.59607,0.26359,0.45244,0.74645,1.26724
1,1.03875,0.97562,1.31975,1.18765,1.12471,0.88761,0.64616,1.09777,0.76003,2.35917,0.54207,0.69216,0.85335,1.72985,1.51549,1.28782,1.00034,0.83306,1.61133,1.17269,0.96209,0.73362,1.3096,1.1553,1.02024,1.09974,0.20511,1.1363,0.67815,0.55927,0.94539,0.9712,0.49516,0.7498,1.20596,1.52822
2,1.77602,1.42339,1.84462,2.14863,1.9678,1.21822,0.83142,1.62538,1.36253,3.14105,0.97391,1.13429,1.47813,2.60143,2.00441,1.72614,1.20748,0.92652,1.86022,1.38383,1.51739,1.1117,2.00638,1.79446,1.32056,1.54946,0.40903,1.62804,1.33349,1.10722,1.39243,1.39396,0.86404,1.20019,1.91649,1.75135
3,2.32529,1.67532,2.13175,2.89705,2.6209,1.43553,0.95167,1.91483,1.84467,3.50497,1.33473,1.44234,1.92379,3.11683,2.31332,2.03985,1.32881,0.96439,1.96722,1.49264,1.9173,1.34197,2.54265,2.27646,1.48739,1.81272,0.61754,1.89462,1.95421,1.63509,1.65074,1.61127,1.14928,1.56066,2.49006,1.86001
