Pressure,MIL-160,MIL120-Str1,MIL120-Str2,MIL127-OMS,MIL127-Hyd,MIL59-OMS,MIL59-Hyd,CALF20,CALF20-bdc,CALF20-cub,CALF20-fum,CALF20-squ,CALF20-ttdc,CAU10,CAU10-CH3,CAU10-OH,CAU10-NH2,CAU10-OCH3,CAU11,CAU59,MIL53-CF3,MIL53-F4,MIL68-bdc,MIL68-mes,MIL91,MIL120-naph,MIL140A,MIL140B,MIL53-muc,MIP211,MIP203-F,MIP203-M,MIP203-S,MIP214,Fe-mdip,Zr-DHBQ
0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0.00001,0.00001,0,0,0,0,0,0
0.001,0.00003,0.00003,0.00003,0.00005,0.00005,0.00003,0.00002,0.00002,0.00003,0.00003,0.00003,0.00002,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00003,0.00002,0.00003,0.00002,0.00006,0.00004,0.00002,0.00004,0.00001,0.00003,0.00006,0.00005,0.00002,0.00001,0.00001,0.00004,0.00005,0.00002
0.01,0.00032,0.00026,0.00027,0.00055,0.00049,0.00025,0.00018,0.00019,0.00028,0.00028,0.00026,0.00022,0.00026,0.00033,0.00031,0.00026,0.00024,0.00015,0.0003,0.00019,0.00029,0.00017,0.00056,0.00037,0.00021,0.00034,0.00013,0.00025,0.00055,0.00051,0.00018,0.00014,0.00011,0.0004,0.00046,0.00025
0.05,0.00159,0.00128,0.00136,0.00276,0.00242,0.00126,0.00088,0.00096,0.00142,0.00141,0.00132,0.0011,0.00126,0.00166,0.00151,0.00131,0.00119,0.00075,0.00152,0.00094,0.00146,0.00084,0.00281,0.00185,0.00105,0.00173,0.00064,0.00122,0.00275,0.00256,0.00087,0.0007,0.00054,0.00202,0.0023,0.00124
0.1,0.00318,0.00257,0.00272,0.0055,0.00484,0.00253,0.00177,0.00192,0.00285,0.00282,0.00265,0.00219,0.00251,0.00332,0.00303,0.00261,0.00238,0.0015,0.00304,0.00187,0.00293,0.00167,0.00561,0.00371,0.0021,0.00345,0.00128,0.00245,0.00549,0.0051,0.00175,0.00139,0.00107,0.00404,0.00463,0.00248
0.5,0.0158,0.01284,0.01353,0.0274,0.02411,0.01258,0.00883,0.00952,0.01414,0.01405,0.01319,0.01097,0.01252,0.01653,0.01505,0.01297,0.01181,0.00746,0.01514,0.00925,0.01463,0.00829,0.02794,0.01849,0.01048,0.01718,0.00639,0.01217,0.02732,0.0255,0.00877,0.00695,0.00533,0.02024,0.02304,0.01227
1,0.03155,0.02558,0.02705,0.05475,0.04809,0.02512,0.01762,0.01904,0.02817,0.02797,0.02633,0.02185,0.02498,0.03286,0.02985,0.02579,0.0235,0.01479,0.03006,0.01843,0.02904,0.0165,0.0558,0.037,0.02093,0.03428,0.01278,0.02424,0.05463,0.05087,0.01744,0.01384,0.01067,0.0405,0.04595,0.02446
2,0.06264,0.05089,0.05361,0.109,0.09585,0.04991,0.03497,0.03789,0.05631,0.05561,0.05239,0.04343,0.04974,0.06534,0.05924,0.05092,0.0465,0.02936,0.05958,0.03648,0.05796,0.03276,0.11117,0.0737,0.04145,0.06811,0.02542,0.04822,0.10883,0.10153,0.03476,0.02759,0.02136,0.08052,0.09132,0.0485
3,0.09361,0.07588,0.07978,0.163,0.14329,0.07435,0.052,0.05658,0.0841,0.08325,0.07835,0.06484,0.07406,0.09733,0.08831,0.07609,0.06931,0.04349,0.08847,0.05437,0.08662,0.04887,0.16654,0.10998,0.06201,0.10163,0.03803,0.07199,0.16274,0.15194,0.05179,0.04112,0.03188,0.12041,0.13659,0.07187
4,0.12404,0.10048,0.10602,0.21667,0.19003,0.09873,0.06876,0.07512,0.11173,0.11022,0.10416,0.08632,0.09871,0.1292,0.11655,0.10054,0.09165,0.05759,0.11674,0.07202,0.11506,0.06481,0.2208,0.14613,0.08206,0.13469,0.05074,0.0955,0.2165,0.20176,0.06872,0.05459,0.04239,0.15993,0.18115,0.09485
5,0.15461,0.12479,0.13169,0.26922,0.23649,0.12259,0.08549,0.09352,0.139,0.13736,0.12972,0.10731,0.12261,0.16049,0.14425,0.12488,0.11376,0.07141,0.14499,0.08899,0.1431,0.08073,0.27465,0.18235,0.10214,0.16734,0.0632,0.11846,0.27004,0.25184,0.08558,0.06789,0.0528,0.19934,0.22534,0.11757
6,0.18487,0.14884,0.15722,0.32238,0.28295,0.14633,0.10195,0.11194,0.16643,0.16385,0.15535,0.12836,0.14695,0.1915,0.17198,0.14887,0.13519,0.08493,0.17236,0.10611,0.17135,0.0965,0.32914,0.21784,0.12189,0.19954,0.0754,0.14133,0.32322,0.30119,0.10209,0.08139,0.06315,0.23871,0.2687,0.13987
7,0.21447,0.17308,0.182,0.37457,0.32874,0.17003,0.11832,0.13003,0.19351,0.19046,0.18059,0.14922,0.17054,0.22194,0.19933,0.17217,0.15662,0.09815,0.19934,0.12298,0.19886,0.11213,0.38156,0.25314,0.14127,0.23162,0.08789,0.16419,0.37538,0.35042,0.11882,0.09407,0.07366,0.2776,0.31249,0.16185
8,0.24451,0.19628,0.20694,0.42692,0.37437,0.19329,0.13426,0.14764,0.22018,0.2167,0.20588,0.1699,0.19438,0.2528,0.22606,0.19581,0.17743,0.1115,0.22513,0.13934,0.22641,0.12742,0.43538,0.28894,0.16084,0.26369,0.10027,0.18686,0.42844,0.39958,0.13528,0.10745,0.08381,0.31645,0.35569,0.18278
9,0.27448,0.2198,0.23117,0.47845,0.41977,0.2162,0.14962,0.16553,0.24692,0.24271,0.2309,0.19068,0.21807,0.28251,0.252,0.21828,0.19855,0.12422,0.25091,0.15521,0.25352,0.14291,0.48784,0.32337,0.17975,0.29458,0.11246,0.20867,0.48,0.44875,0.15149,0.12049,0.09389,0.35446,0.39783,0.20402
10,0.30342,0.24269,0.25553,0.52945,0.46411,0.23903,0.16593,0.18311,0.27361,0.26858,0.25592,0.21081,0.24137,0.31224,0.2774,0.24091,0.21871,0.13709,0.27721,0.17134,0.28077,0.15787,0.54053,0.3584,0.19878,0.32526,0.1245,0.23048,0.53258,0.49703,0.16767,0.13332,0.104,0.39361,0.44027,0.22465
12,0.36104,0.28738,0.3036,0.63114,0.55236,0.28347,0.19663,0.21835,0.3267,0.31878,0.30509,0.25177,0.28781,0.37128,0.32794,0.28518,0.25889,0.16165,0.32662,0.20228,0.3336,0.18796,0.64494,0.42702,0.23673,0.38681,0.14883,0.2741,0.63536,0.59331,0.19954,0.15854,0.12445,0.46918,0.52451,0.2655
15,0.44591,0.35431,0.37272,0.77918,0.68335,0.34956,0.24206,0.26974,0.40293,0.39381,0.37801,0.31006,0.35537,0.4569,0.40071,0.34909,0.3169,0.19678,0.39836,0.24675,0.41232,0.23172,0.79838,0.52911,0.29004,0.47501,0.18442,0.33745,0.78703,0.73609,0.24652,0.19634,0.1539,0.58086,0.64759,0.32284
20,0.58296,0.45943,0.48363,1.02215,0.89449,0.45457,0.31285,0.35211,0.52915,0.51324,0.497,0.40656,0.46502,0.59363,0.51496,0.45125,0.41003,0.25385,0.5104,0.31729,0.53889,0.30333,1.04462,0.69461,0.37812,0.61674,0.24248,0.44005,1.03635,0.97084,0.32142,0.25736,0.2028,0.76465,0.84464,0.41345
25,0.71612,0.56148,0.58949,1.25596,1.09889,0.55488,0.38183,0.4322,0.6501,0.62788,0.61125,0.49935,0.57299,0.72216,0.62342,0.54845,0.49473,0.30558,0.61522,0.38354,0.66031,0.37104,1.2861,0.85533,0.46182,0.75052,0.29936,0.53637,1.27788,1.19756,0.39456,0.31623,0.24984,0.9423,1.03811,0.49836
30,0.84327,0.65676,0.68937,1.48348,1.29626,0.65153,0.44641,0.50917,0.76927,0.73723,0.72323,0.58835,0.67584,0.84834,0.72387,0.6371,0.57491,0.35397,0.7121,0.44504,0.7772,0.43792,1.52051,1.011,0.5417,0.87985,0.35464,0.62851,1.51397,1.42074,0.4645,0.3726,0.29626,1.11673,1.22013,0.57555
35,0.96664,0.74589,0.78505,1.70507,1.48749,0.74411,0.50898,0.58342,0.88379,0.84283,0.83062,0.67413,0.7775,0.96761,0.81993,0.72406,0.65197,0.40062,0.80316,0.50171,0.89163,0.49962,1.74902,1.16679,0.6196,1.00275,0.40857,0.71745,1.74269,1.63879,0.53236,0.42712,0.34154,1.28709,1.39666,0.6472
40,1.08845,0.83291,0.87738,1.91388,1.67332,0.83276,0.56725,0.65394,0.99494,0.94448,0.93803,0.75973,0.87245,1.08016,0.90734,0.80334,0.72616,0.44299,0.88838,0.55679,1.00031,0.56101,1.96921,1.31193,0.6927,1.11747,0.46164,0.80243,1.96843,1.85249,0.59722,0.48033,0.38598,1.45024,1.56881,0.7186
